DTP Enlistment Date,CI Screening result at  DODCAF,ARMY G1 Review,USCIS Notified on Final Suitability
4/8/16,1/5/18,Suitable,3/20/18
12/21/15,10/1/17,Unsuitable,
6/9/16,1/24/18,Suitable,5/2/18
1/28/16,11/16/17,,
2/2/16,1/16/18,,
11/6/15,10/23/17,Suitable,3/1/18
12/21/15,9/23/17,,
6/15/16,1/10/18,Pending,
3/11/16,2/22/18,,
3/18/16,1/2/18,,
5/23/16,2/5/18,,
5/19/16,3/9/18,Suitable,5/3/18
3/16/16,11/28/17,Suitable,3/1/18
1/29/16,11/13/17,,
12/1/15,10/24/17,,
2/5/16,12/26/17,,
3/22/16,1/12/18,,
1/5/16,10/22/17,Suitable,3/1/18
12/10/15,9/23/17,Unsuitable,
12/17/15,1/25/18,,
2/23/16,2/2/18,,
5/11/16,1/10/18,,
12/30/15,11/15/17,Suitable,3/1/18
10/21/15,9/23/17,Suitable,4/10/18
11/24/15,1/16/18,,
3/17/16,11/18/17,Suitable,3/1/18
3/31/16,12/13/17,,
2/11/16,1/10/18,,
1/28/16,12/21/17,Suitable,3/20/18
1/29/16,12/26/17,,
6/16/16,2/2/18,Suitable,3/23/18
4/28/16,12/28/17,,
4/29/16,2/28/18,Suitable,4/18/18
5/20/16,,,
4/19/16,2/3/18,,
3/30/16,,Unsuitable,3/26/18
5/26/16,2/1/18,,
12/30/15,1/29/18,Suitable,4/10/18
5/20/16,2/5/18,,
1/6/16,11/14/17,,
2/4/16,10/27/17,,
5/16/16,2/5/18,,
2/26/16,2/10/18,,
4/7/16,2/23/18,,
5/12/16,2/12/18,,
12/30/15,11/16/17,,
6/22/16,1/17/18,Suitable,4/3/18
4/28/16,1/23/18,,
6/23/16,1/25/18,Suitable,3/23/18
1/8/16,10/1/17,Suitable,3/1/18
3/16/16,2/18/18,,
1/8/16,10/23/17,Suitable,3/1/18
4/15/16,2/8/18,Suitable,4/18/18
1/29/16,1/3/18,,
6/10/16,2/6/18,,
3/2/16,,,
3/11/16,2/5/18,,
3/18/16,1/29/18,,
12/30/15,11/11/17,Suitable,2/15/18
12/16/15,1/23/18,Suitable,3/1/18
1/7/16,11/12/17,Suitable,3/1/18
6/20/16,,,
4/28/16,1/11/18,Suitable,4/10/18
12/8/15,12/12/18,,
7/24/15,N/A,,
6/24/16,2/4/18,,
12/17/15,11/26/17,,
6/14/16,1/26/18,Suitable,4/10/18
3/17/16,1/10/18,,
3/14/16,3/5/18,Suitable,5/2/18
2/4/16,10/15/17,Suitable,3/1/18
3/11/16,11/21/17,,
5/25/16,1/22/18,Suitable,4/3/18
3/3/16,11/26/17,Suitable,3/1/18
5/25/16,1/26/18,,
3/10/16,11/16/17,Suitable,3/1/18
6/8/16,2/3/18,Suitable,3/20/18
5/31/16,2/5/18,,
12/3/15,11/17/17,Suitable,2/15/18
5/9/16,2/2/18,,
6/14/16,1/5/18,,
9/29/15,,Unsuitable,
6/24/16,1/29/18,Suitable,3/20/18
2/11/16,1/16/18,Suitable,4/10/18
4/12/16,1/25/18,Suitable,4/10/18
3/2/16,1/16/18,,
2/18/16,2/5/18,,
12/3/15,3/5/18,Suitable,5/2/18
5/10/16,1/25/18,Suitable,4/10/18
3/21/16,1/16/18,,
4/21/16,1/4/18,Suitable,4/10/18
4/21/16,2/5/18,,
3/21/16,1/2/18,,
5/24/16,2/1/18,,
1/29/16,2/1/18,Suitable,4/18/18
3/23/16,1/9/18,,
5/5/16,2/3/18,Suitable,3/23/18
2/23/16,N/A,,
6/15/16,1/24/18,Suitable,3/20/18
1/29/16,11/14/17,Suitable,3/1/18
12/7/15,12/26/17,,
3/24/16,12/29/17,,
1/29/16,11/15/17,Suitable,3/1/18
3/25/16,11/20/17,Suitable,3/1/18
12/30/15,11/15/17,Suitable,3/1/18
5/23/16,,,
5/10/16,1/22/18,Suitable,4/3/18
1/21/16,11/9/17,Suitable,3/1/18
3/31/16,12/26/17,,
3/22/16,1/23/18,,
1/29/16,1/3/18,,
7/23/15,1/9/18,,
12/16/15,10/1/17,Suitable,3/1/18
5/5/16,2/5/18,,
5/24/16,1/25/17,Suitable,4/10/18
12/16/15,9/5/17,Suitable,3/1/18
3/11/16,10/15/17,Suitable,3/1/18
5/25/16,1/22/18,Suitable,3/1/18
9/30/15,N/A,,
12/3/15,8/29/17,,
5/18/16,1/11/18,,
10/16/15,9/15/17,Unsuitable,
5/2/16,1/10/18,Suitable,2/15/18
6/8/16,3/5/18,,
3/18/16,1/2/18,,
3/24/16,1/3/18,,
8/11/16,1/8/18,,
2/16/16,12/18/17,Pending,
5/12/16,1/14/18,,
4/26/16,1/3/18,Suitable,3/1/18
6/9/16,2/13/18,,
1/21/16,10/31/17,Suitable,3/1/18
12/15/15,1/11/18,Suitable,3/1/18
5/3/16,1/9/18,Suitable,3/20/18
4/27/16,3/2/18,,
2/16/16,11/28/17,Suitable,3/1/18
5/17/16,1/23/18,,
3/9/16,11/5/17,,
2/22/16,3/2/18,Suitable,4/18/18
6/22/16,2/5/18,Suitable,4/18/18
12/23/15,9/14/17,,
6/7/16,1/9/18,Suitable,5/2/18
5/6/14,,,
4/8/16,3/2/18,Suitable,4/18/18
12/9/15,9/21/17,,
5/11/16,1/11/18,,
12/14/15,9/12/17,,
4/22/16,1/2/18,,
4/4/16,12/29/17,Suitable,3/1/18
6/9/16,12/8/17,Suitable,3/1/18
