CEIPT_DT_1,INTERV EW_DT_1,DECISION_DT_1,RECEIPT_DT_2,INTERV EW_DT_2,DECISION_DT_2,DEC SION_DT_4,INTERVIEW_COMPLETED   SCHEDULED_INTERVIEW_DT,DEP_DTP_Enlistment_Date   ,CI_Screening_Results_at_DoDCAF  , Completed_MSSD,USCIS_Notified_on_F nal_Su tab lity_Determination_ Date)
1/23/17,,,,,,,6/26/18,2/3/16,2/9/18,5/2/18,5/2/18
8/17/17,,,,,,,6/5/18,4/21/16,1/4/18,4/10/18,4/10/18
3/6/17,,,,,,,,4/27/16,2/5/18,,
3/3/17,,,,,,,6/25/18,5/26/16,1/10/18,4/10/18,4/10/18
2/6/17,,,,,,,,5/26/16,9/19/17,,
3/7/17,,,,,,,,3/16/16,11/22/17,,
2/21/17,,,,,,,,4/29/16,1/23/18,,
4/9/18,,,,,,,,3/16/16,2/5/18,,
4/12/17,1/11/18,4/23/18,,,,Yes,,2/3/16,12/20/17,4/10/18,4/10/18
4/2/18,,,,,,,,2/11/16,12/26/17,,
5/1/17,,,,,,,,5/5/16,1/23/18,,
5/3/18,,,,,,,,3/30/16,2/9/18,,
1/31/18,,,,,,,,6/7/16,1/24/18,,
4/11/18,,,,,,,,5/18/16,2/5/18,Pend ng,
6/5/17,5/8/18,,,,,Yes,6/12/18,6/24/16,2/4/18,5/11/18,5/11/18
4/12/17,,,,,,,,11/30/15,,,
4/14/17,,,,,,,,6/24/16,2/23/18,5/11/18,5/11/18
1/30/17,5/29/18,,,,,Yes,,5/13/16,3/5/18,4/18/18,4/18/18
2/27/18,,,,,,,,4/22/16,2/7/18,,
4/2/18,,,,,,,,6/21/16,2/8/18,,
4/6/18,,,,,,,,5/19/16,1/11/18,4/10/18,4/10/18
1/17/17,,,,,,,,5/19/16,2/5/18,5/11/18,5/11/18
3/16/17,,,,,,,,1/28/16,11/8/17,,
2/21/18,,,,,,,,9/28/15,11/20/17,,
2/27/17,,,,,,,6/28/18,4/20/16,1/14/18,4/18/18,4/18/18
3/27/17,,,,,,,,6/2/16,2/27/18,,
8/29/17,,,,,,,,10/22/15,8/23/17,,
11/27/17,,,,,,,,2/4/16,10/19/17,,
4/6/17,,,,,,,,3/22/16,5/9/18,,
1/17/17,,,,,,,,5/9/16,,,
3/29/17,5/10/18,5/10/18,,,,Yes,,2/5/16,1/2/18,3/20/18,3/20/18
12/8/17,,,,,,,,2/25/16,1/7/18,,
5/5/17,,,,,,,,2/29/16,12/5/17,,
12/19/16,,,,,,,,3/17/16,,,
7/12/17,,,,,,,,5/13/16,2/7/18,,
5/23/17,,,,,,,,3/24/16,,,
3/22/17,,,,,,,,2/18/16,9/11/17,,
1/27/17,4/16/18,,,,,Yes,,2/2/16,1/14/18,3/1/18,3/1/18
7/28/17,,,,,,,,3/14/16,12/5/17,,
7/5/17,,,,,,,,1/12/16,,,
8/18/17,,,,,,,,5/25/16,1/11/18,,
1/26/18,,,,,,,,1/14/16,1/25/18,,
11/14/16,4/25/17,4/25/17,,,,Yes,,11/25/15,4/25/17,,
